City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
212,lihue,21.9789,-159.3672,29.77,70,40,6.17,US,1693432733
213,thinadhoo,0.5333,72.9333,28.17,71,99,1.58,MV,1693432734
214,ngaoundere,7.3167,13.5833,18.24,94,99,0.55,CM,1693432736
215,calvi,42.5,8.8333,18.35,46,0,7.72,FR,1693432737
216,twin falls,42.3505,-114.6445,21.19,28,0,6.17,US,1693432738
217,bonthe,7.5264,-12.505,25.19,83,99,1.63,SL,1693432739
218,kuanda,56.3161,116.0806,13.51,66,0,0.43,RU,1693432741
219,port hedland,-20.3167,118.5667,17.03,31,5,3.6,AU,1693432521
220,okhotsk,59.3833,143.3,15.84,87,34,1.47,RU,1693432743
221,formosa do rio preto,-11.0483,-45.1931,29.87,34,90,0.58,BR,1693432746
222,dompu,-8.5356,118.4622,20.36,96,19,1.25,ID,1693432747
223,kudahuvadhoo,2.6708,72.8944,27.93,68,100,3.44,MV,1693432748
224,egilsstadir,65.2653,-14.3948,7.95,93,100,3.6,IS,1693432749
225,port macquarie,-31.4333,152.9167,14.94,70,91,1.84,AU,1693432476
226,nuuk,64.1835,-51.7216,5.34,87,75,2.57,GL,1693432514
227,georgetown,5.4112,100.3354,26.96,92,20,1.03,MY,1693432748
228,prieska,-29.6641,22.7474,17.35,25,0,3.79,ZA,1693432754
229,adrar,20.5022,-10.0711,34.61,31,14,2.8,MR,1693432756
230,prince rupert,54.3161,-130.3201,16.05,91,100,4.63,CA,1693432766
231,aasiaat,68.7098,-52.8699,2.89,92,100,5.24,GL,1693432767
232,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,82,0,1.0,RU,1693432690
233,khanbari,27.3747,87.2039,22.07,93,52,0.34,NP,1693432769
234,nanga eboko,4.6833,12.3667,20.46,96,90,1.69,CM,1693432770
235,otacilio costa,-27.4831,-50.1219,12.6,88,0,0.92,BR,1693432772
236,jayapura,-2.5333,140.7,25.66,90,72,2.11,ID,1693432756
237,pau brasil,-15.4642,-39.6511,23.06,87,73,1.04,BR,1693432743
238,zhangjiakou,40.81,114.8794,14.66,87,89,1.09,CN,1693432775
239,alice springs,-23.7,133.8833,6.75,70,0,1.03,AU,1693432681
240,half moon bay,37.4636,-122.4286,38.08,29,0,2.57,US,1693432756
241,san luis de la loma,17.2706,-100.8939,29.35,75,79,1.29,MX,1693432778
242,hilo,19.7297,-155.09,27.36,82,100,2.57,US,1693432780
243,tuy hoa,13.0833,109.3,26.81,79,100,3.17,VN,1693432781
244,kourou,5.1552,-52.6478,30.03,79,43,3.67,GF,1693432783
245,inhambane,-23.865,35.3833,19.76,78,23,2.18,MZ,1693432784
246,kindu,-2.95,25.95,22.84,70,6,0.64,CD,1693432786
247,papatowai,-46.5619,169.4708,10.37,63,26,2.56,NZ,1693432790
248,rumoi,43.9344,141.6428,23.01,87,69,4.63,JP,1693432791
249,castillos,-34.1667,-53.8333,12.82,83,95,2.52,UY,1693432793
250,ljusdal,61.8288,16.0913,10.73,95,100,0.6,SE,1693432795
251,touros,-5.1989,-35.4608,24.94,80,0,6.11,BR,1693432796
252,kinkala,-4.3614,14.7644,23.84,68,7,1.8,CG,1693432797
253,la passe,45.5549,-0.8967,17.21,70,49,4.26,FR,1693432798
254,huizhou,23.0833,114.4,24.22,84,89,2.83,CN,1693432560
255,nizhnesortymskiy,62.4397,71.7603,13.14,84,96,8.46,RU,1693432801
256,sorsk,54.0033,90.2467,11.1,96,89,0.87,RU,1693432806
257,sola,-13.8833,167.55,28.37,84,40,1.03,VU,1693432809
258,tofol,5.3248,163.0078,28.94,73,60,4.2,FM,1693432813
259,revda,56.801,59.9303,9.12,98,100,3.24,RU,1693432816
260,mansoa,12.0733,-15.3189,25.11,92,82,1.77,GW,1693432819
261,lerwick,60.1545,-1.1494,11.0,94,2,2.04,GB,1693432823
262,mahanje,-9.9333,35.3333,16.09,64,15,0.91,TZ,1693432827
263,argostolion,38.1811,20.489,25.73,63,8,4.41,GR,1693432829
264,jamestown,42.097,-79.2353,17.77,89,100,4.63,US,1693432550
265,dharmanagar,24.3667,92.1667,25.47,86,54,1.37,IN,1693432831
266,palembang,-2.9167,104.7458,24.05,100,100,1.54,ID,1693432833
267,pisco,-13.7,-76.2167,22.03,68,9,9.77,PE,1693432834
268,hamilton,39.1834,-84.5333,23.85,61,0,6.17,US,1693432575
269,hermanus,-34.4187,19.2345,13.78,94,100,2.34,ZA,1693432686
270,sandnessjoen,66.0217,12.6316,12.29,80,56,5.33,NO,1693432838
271,fortuna,40.5982,-124.1573,24.4,62,20,8.75,US,1693432839
272,island harbour,50.724,-1.2758,15.52,85,100,0.89,GB,1693432841
273,noosa heads,-26.3833,153.15,17.28,81,41,2.05,AU,1693432842
274,dudinka,69.4058,86.1778,4.79,72,6,6.83,RU,1693432709
275,vorkuta,67.5,64.0,7.14,80,36,1.79,RU,1693432844
